ÐòºÅ     x×ø±ê             y×ø±ê
N 559  G00X-2066.766   Y 75.233 
N 560  G00X-2066.886   Y 76.323 
N 561  G00X-2066.886   Y 76.323 
N 562  G00X-2066.993   Y 77.293 
N 563  G00X-2067.106   Y 78.261 
N 564  G00X-2067.225   Y 79.225 
N 565  G00X-2067.35    Y 80.186 
N 566  G00X-2067.48    Y 81.142 
N 567  G00X-2067.616   Y 82.093 
N 568  G00X-2067.758   Y 83.039 
N 569  G00X-2067.905   Y 83.978 
N 570  G00X-2068.057   Y 84.911 
N 571  G00X-2068.214   Y 85.837 
N 572  G00X-2068.376   Y 86.754 
N 573  G00X-2068.543   Y 87.664 
N 574  G00X-2068.715   Y 88.565 
N 575  G00X-2068.891   Y 89.456 
N 576  G00X-2069.071   Y 90.337 
N 577  G00X-2069.256   Y 91.208 
N 578  G00X-2069.444   Y 92.067 
N 579  G00X-2069.637   Y 92.915 
N 580  G00X-2069.833   Y 93.751 
N 581  G00X-2070.033   Y 94.574 
N 582  G00X-2070.033   Y 94.574 
N 583  G00X-2070.244   Y 95.445 
N 584  G00X-2070.463   Y 96.311 
N 585  G00X-2070.688   Y 97.173 
N 586  G00X-2070.921   Y 98.03 
N 587  G00X-2071.16    Y 98.881 
N 588  G00X-2071.405   Y 99.727 
N 589  G00X-2071.656   Y 100.566 
N 590  G00X-2071.914   Y 101.399 
N 591  G00X-2072.177   Y 102.224 
N 592  G00X-2072.446   Y 103.041 
N 593  G00X-2072.72    Y 103.851 
N 594  G00X-2072.999   Y 104.652 
N 595  G00X-2073.283   Y 105.444 
N 596  G00X-2073.572   Y 106.226 
N 597  G00X-2073.865   Y 106.999 
N 598  G00X-2074.162   Y 107.761 
N 599  G00X-2074.464   Y 108.512 
N 600  G00X-2074.769   Y 109.253 
N 601  G00X-2075.078   Y 109.981 
N 602  G00X-2075.391   Y 110.698 
N 603  G00X-2075.391   Y 110.698 
N 604  G00X-2075.715   Y 111.437 
N 605  G00X-2076.047   Y 112.17 
N 606  G00X-2076.386   Y 112.897 
N 607  G00X-2076.732   Y 113.617 
N 608  G00X-2077.085   Y 114.33 
N 609  G00X-2077.445   Y 115.036 
N 610  G00X-2077.81    Y 115.734 
N 611  G00X-2078.182   Y 116.424 
N 612  G00X-2078.559   Y 117.105 
N 613  G00X-2078.942   Y 117.778 
N 614  G00X-2079.33    Y 118.442 
N 615  G00X-2079.722   Y 119.097 
N 616  G00X-2080.12    Y 119.743 
N 617  G00X-2080.521   Y 120.378 
N 618  G00X-2080.927   Y 121.004 
N 619  G00X-2081.337   Y 121.619 
N 620  G00X-2081.75    Y 122.223 
N 621  G00X-2082.166   Y 122.816 
N 622  G00X-2082.585   Y 123.397 
N 623  G00X-2083.007   Y 123.967 
N 624  G00X-2083.007   Y 123.967 
N 625  G00X-2083.423   Y 124.519 
N 626  G00X-2083.844   Y 125.063 
N 627  G00X-2084.27    Y 125.601 
N 628  G00X-2084.701   Y 126.131 
N 629  G00X-2085.136   Y 126.654 
N 630  G00X-2085.576   Y 127.17 
N 631  G00X-2086.019   Y 127.677 
N 632  G00X-2086.466   Y 128.177 
N 633  G00X-2086.916   Y 128.668 
N 634  G00X-2087.369   Y 129.151 
N 635  G00X-2087.825   Y 129.625 
N 636  G00X-2088.283   Y 130.091 
N 637  G00X-2088.744   Y 130.547 
N 638  G00X-2089.206   Y 130.995 
N 639  G00X-2089.67    Y 131.432 
N 640  G00X-2090.135   Y 131.861 
N 641  G00X-2090.601   Y 132.279 
N 642  G00X-2091.068   Y 132.687 
N 643  G00X-2091.535   Y 133.086 
N 644  G00X-2092.003   Y 133.473 
N 645  G00X-2092.003   Y 133.473 
N 646  G00X-2092.788   Y 134.122 
N 647  G00X-2093.58    Y 134.758 
N 648  G00X-2094.378   Y 135.38 
N 649  G00X-2095.18    Y 135.988 
N 650  G00X-2095.988   Y 136.583 
N 651  G00X-2096.8     Y 137.163 
N 652  G00X-2097.615   Y 137.73 
N 653  G00X-2098.434   Y 138.281 
N 654  G00X-2099.256   Y 138.819 
N 655  G00X-2100.081   Y 139.342 
N 656  G00X-2100.907   Y 139.85 
N 657  G00X-2101.735   Y 140.342 
N 658  G00X-2102.564   Y 140.82 
N 659  G00X-2103.393   Y 141.283 
N 660  G00X-2104.222   Y 141.73 
